,no,latitude,longitude,sub_area
384,26474,55.7392976181,37.847429324,Krjukovo
385,1018,55.9053559858,37.5562306445,Bogorodskoe
386,3080,55.8915810679,37.6750935481,Hovrino
387,18286,55.7213340448,37.3883605161,Juzhnoe Butovo
388,15484,55.7517790355,37.8357667558,Chertanovo Juzhnoe
389,28090,55.7517790355,37.8357667558,Strogino
390,2069,55.7159129958,37.3911624547,Kuncevo
391,13634,55.6154583658,37.4941894755,Ochakovo-Matveevskoe
392,1016,55.8315789939,37.3885814324,Mar'ino
393,17458,55.7533533281,37.8358038287,Severnoe Medvedkovo
394,14472,55.5761249276,37.675128388,Alekseevskoe
395,18338,55.5761249276,37.675128388,Juzhnoe Medvedkovo
396,597,55.6299855423,37.4772633118,Juzhnoe Medvedkovo
397,16485,55.6299855423,37.4772633118,Krjukovo
398,28343,55.6299855423,37.4772633118,Veshnjaki
399,21940,55.8950880512,37.633192044,Veshnjaki
400,22928,55.7081769808,37.8282237866,Krylatskoe
401,25491,55.7081769808,37.8282237866,Perovo
402,28262,55.6003316596,37.5127555701,Ivanovskoe
403,20752,55.8819583037,37.7167897153,Matushkino
404,403,55.7822673564,37.8354798444,Tekstil'shhiki
405,21068,55.7400008046,37.8477376914,Orehovo-Borisovo Juzhnoe
406,27216,55.7400008046,37.8477376914,Kosino-Uhtomskoe
407,18037,55.5795639331,37.5985556083,Kosino-Uhtomskoe
408,3213,55.7624853653,37.8362096689,Juzhnoportovoe
409,13260,55.7624853653,37.8362096689,Hamovniki
410,19627,55.7624853653,37.8362096689,Birjulevo Zapadnoe
411,29215,55.7624853653,37.8362096689,Babushkinskoe
412,15399,55.5758040087,37.6628075199,Losinoostrovskoe
413,17578,55.8274974406,37.8228432318,Bogorodskoe
414,27567,55.8274974406,37.8228432318,Perovo
415,5688,55.9125199444,37.5549872298,Kosino-Uhtomskoe
416,25188,55.7047385733,37.8262238837,Matushkino
417,4673,55.8174530348,37.3976839898,Moskvorech'e-Saburovo
418,13864,55.8174530348,37.3976839898,Zjuzino
419,28490,55.5807151054,37.6887545406,Krasnosel'skoe
420,6808,55.7348303008,37.8340021369,Orehovo-Borisovo Juzhnoe
421,26950,55.6203522195,37.4890125516,Jaroslavskoe
422,551,55.8431840972,37.400177023,Beskudnikovskoe
423,800,55.9051273831,37.5562511072,Chertanovo Juzhnoe
424,869,55.9051273831,37.5562511072,Juzhnoe Butovo
425,14996,55.9051273831,37.5562511072,Horoshevo-Mnevniki
426,16255,55.9051273831,37.5562511072,Krjukovo
427,10346,55.8851898809,37.4913597698,Presnenskoe
428,17876,55.8851898809,37.4913597698,Izmajlovo
429,23742,55.8851898809,37.4913597698,Ivanovskoe
430,24018,55.5780973205,37.5677044746,Lianozovo
431,27816,55.6210185063,37.4882978706,Ljublino
432,3188,55.5772520904,37.5711802327,Bogorodskoe
433,10360,55.5772520904,37.5711802327,Novo-Peredelkino
434,19461,55.5762400538,37.6573471662,Donskoe
435,23342,55.5762400538,37.6573471662,Izmajlovo
436,2209,55.8008055984,37.390238369,Otradnoe
437,2687,55.8008055984,37.390238369,Hovrino
438,3469,55.8008055984,37.390238369,Cheremushki
439,3495,55.8008055984,37.390238369,Kon'kovo
440,3542,55.8008055984,37.390238369,Caricyno
441,3623,55.8008055984,37.390238369,Lomonosovskoe
442,3812,55.8008055984,37.390238369,Juzhnoe Medvedkovo
443,4093,55.8008055984,37.390238369,Severnoe Medvedkovo
444,4217,55.8008055984,37.390238369,Jaroslavskoe
445,4360,55.8008055984,37.390238369,Kotlovka
446,4701,55.8008055984,37.390238369,Savelovskoe
447,5041,55.8008055984,37.390238369,Ljublino
448,6338,55.7062318759,37.8268675761,Teplyj Stan
449,23175,55.7214770962,37.8321139178,Donskoe
450,1960,55.6191384678,37.4906232129,Nagatino-Sadovniki
451,25968,55.7105775424,37.3956157773,Ljublino
452,4095,55.737290716,37.8342037822,Perovo
453,16612,55.737290716,37.8342037822,Orehovo-Borisovo Severnoe
454,28312,55.737290716,37.8342037822,Hamovniki
455,10246,55.8956131948,37.6285272841,Donskoe
456,14834,55.8956131948,37.6285272841,Ljublino
457,14944,55.8956131948,37.6285272841,Nagatinskij Zaton
458,11012,55.7366362315,37.8476585334,Gol'janovo
459,2926,55.5840335633,37.697336094,Orehovo-Borisovo Severnoe
460,11320,55.5840335633,37.697336094,Jakimanka
461,25361,55.5840335633,37.697336094,Hovrino
462,26342,55.5840335633,37.697336094,Novogireevo
463,26648,55.5840335633,37.697336094,Pokrovskoe Streshnevo
464,24787,55.7266539718,37.8327742977,Vostochnoe Degunino
465,2821,55.8921352245,37.6550735574,Mozhajskoe
466,21084,55.8921352245,37.6550735574,Troparevo-Nikulino
467,550,55.6300098981,37.7942069083,Vnukovo
468,22139,55.6300098981,37.7942069083,Birjulevo Zapadnoe
469,7136,55.6103583404,37.7589256896,Birjulevo Vostochnoe
470,5546,55.7382567365,37.8342064513,Jasenevo
471,899,55.624575927,37.4843788958,Metrogorodok
472,2586,55.624575927,37.4843788958,Dmitrovskoe
473,28076,55.8918032283,37.6586047704,Kotlovka
474,17075,55.9129158965,37.556547661,Orehovo-Borisovo Severnoe
475,12221,55.8366728258,37.3888521668,Nagatinskij Zaton
476,13990,55.7421163446,37.8346243341,Novokosino
477,24761,55.7421163446,37.8346243341,Tekstil'shhiki
478,20228,55.5767983965,37.6767314876,Dorogomilovo
479,24649,55.5767983965,37.6767314876,Horoshevo-Mnevniki
480,27806,55.5767983965,37.6767314876,Rjazanskij
481,29487,55.5767983965,37.6767314876,Juzhnoe Medvedkovo
482,12997,55.7076298777,37.8273209057,Beskudnikovskoe
483,22452,55.8968836439,37.6214744272,Jaroslavskoe
484,3515,55.5733721844,37.5864883161,Ivanovskoe
485,12347,55.5770661095,37.6466712543,Preobrazhenskoe
486,29422,55.5770661095,37.6466712543,Nagatino-Sadovniki
487,14552,55.7406114679,37.8484274892,Nagatino-Sadovniki
488,23699,55.8290675504,37.8188991914,Bogorodskoe
489,7852,55.8381572732,37.3884395328,Jaroslavskoe
490,15216,55.7056436203,37.8262329859,Tekstil'shhiki
491,22996,55.7056436203,37.8262329859,Vostochnoe Izmajlovo
492,6670,55.7722444348,37.8360155806,Levoberezhnoe
493,11336,55.7722444348,37.8360155806,Juzhnoe Medvedkovo
